# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 249         4.979       52.644      -2.40       Berkhout    
# 269         5.520       52.458      -3.70       Lelystad    
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# Q         : Globale straling (in J/cm2) per uurvak / Global radiation (in J/cm2) during the hourly division
# STN,YYYYMMDD,   HH,    Q
  249,20230101,    1,    0
  249,20230101,    2,    0
  249,20230101,    3,    0
  249,20230101,    4,    0
  249,20230101,    5,    0
  249,20230101,    6,    0
  249,20230101,    7,    0
  249,20230101,    8,    1
  249,20230101,    9,    6
  249,20230101,   10,   23
  249,20230101,   11,   31
  249,20230101,   12,   50
  249,20230101,   13,   45
  249,20230101,   14,   25
  249,20230101,   15,   14
  249,20230101,   16,    1
  249,20230101,   17,    0
  249,20230101,   18,    0
  249,20230101,   19,    0
  249,20230101,   20,    0
  249,20230101,   21,    0
  249,20230101,   22,    0
  249,20230101,   23,    0
  249,20230101,   24,    0
  249,20230102,    1,    0
  249,20230102,    2,    0
  249,20230102,    3,    0
  249,20230102,    4,    0
  249,20230102,    5,    0
  249,20230102,    6,    0
  249,20230102,    7,    0
  249,20230102,    8,    1
  249,20230102,    9,    6
  249,20230102,   10,   16
  249,20230102,   11,   30
  249,20230102,   12,   33
  249,20230102,   13,   33
  249,20230102,   14,   13
  249,20230102,   15,   10
  249,20230102,   16,    4
  249,20230102,   17,    0
  249,20230102,   18,    0
  249,20230102,   19,    0
  249,20230102,   20,    0
  249,20230102,   21,    0
  249,20230102,   22,    0
  249,20230102,   23,    0
  249,20230102,   24,    0
  249,20230103,    1,    0
  249,20230103,    2,    0
  249,20230103,    3,    0
  249,20230103,    4,    0
  249,20230103,    5,    0
